[*] Frida v14 — Module Map & Address Resolver — 2026-03-31T04:12:23.580Z
================================================================================

[MODULES] All loaded modules:
--------------------------------------------------------------------------------
[MODULE]   1  base=0x400000  end=0x1ef3000  size=0x01af3000  name=Conquer.exe  path=F:\TQ\Env_dx9\Conquer.exe
[MODULE]   2  base=0x2670000  end=0x2c27000  size=0x005b7000  name=graphic.dll  path=F:\TQ\Env_dx9\graphic.dll
[MODULE]   3  base=0x2c30000  end=0x2cae000  size=0x0007e000  name=Role3D.dll  path=F:\TQ\Env_dx9\Role3D.dll
[MODULE]   4  base=0x2cb0000  end=0x2d75000  size=0x000c5000  name=GraphicData.dll  path=F:\TQ\Env_dx9\GraphicData.dll
[MODULE]   5  base=0x2d90000  end=0x2dcb000  size=0x0003b000  name=TqPackage.dll  path=F:\TQ\Env_dx9\TqPackage.dll
[MODULE]   6  base=0x2dd0000  end=0x3a51000  size=0x00c81000  name=DataThread.dll  path=F:\TQ\Env_dx9\DataThread.dll
[MODULE]   7  base=0x5d20000  end=0x5d34000  size=0x00014000  name=Assist.dll  path=F:\TQ\Assist.dll
[MODULE]   8  base=0x5d50000  end=0x5d69000  size=0x00019000  name=OpenAL32.dll  path=F:\TQ\OpenAL32.dll
[MODULE]   9  base=0x6a40000  end=0x6e98000  size=0x00458000  name=wrap_oal.dll  path=F:\TQ\wrap_oal.dll
[MODULE]  10  base=0x7ac0000  end=0x7af3000  size=0x00033000  name=TqPackageWdf.dll  path=F:\TQ\Env_dx9\TqPackageWdf.dll
[MODULE]  11  base=0x10000000  end=0x1004c000  size=0x0004c000  name=GameData.dll  path=F:\TQ\Env_dx9\GameData.dll
[MODULE]  12  base=0x57970000  end=0x58ff8000  size=0x01688000  name=C3Video.dll  path=F:\TQ\C3Video.dll
[MODULE]  13  base=0x59000000  end=0x5c0de000  size=0x030de000  name=libcef.dll  path=F:\TQ\Chrome\libcef.dll
[MODULE]  14  base=0x5c0e0000  end=0x5c1e3000  size=0x00103000  name=textinputframework.dll  path=C:\WINDOWS\SYSTEM32\textinputframework.dll
[MODULE]  15  base=0x5c1f0000  end=0x5c302000  size=0x00112000  name=TqNDProtect.dll  path=F:\TQ\Env_dx9\TqNDProtect.dll
[MODULE]  16  base=0x5c310000  end=0x5c320000  size=0x00010000  name=resourcepolicyclient.dll  path=C:\WINDOWS\SYSTEM32\resourcepolicyclient.dll
[MODULE]  17  base=0x5c330000  end=0x5c3ca000  size=0x0009a000  name=ResampleDmo.DLL  path=C:\WINDOWS\SYSTEM32\ResampleDmo.DLL
[MODULE]  18  base=0x5c3d0000  end=0x5c446000  size=0x00076000  name=dsound.dll  path=C:\WINDOWS\SYSTEM32\dsound.dll
[MODULE]  19  base=0x5c450000  end=0x5d593000  size=0x01143000  name=ndac.dll  path=F:\TQ\ndac.dll
[MODULE]  20  base=0x5d5a0000  end=0x5d713000  size=0x00173000  name=inputhost.dll  path=C:\WINDOWS\SYSTEM32\inputhost.dll
[MODULE]  21  base=0x5d720000  end=0x5e728000  size=0x01008000  name=license.dll  path=F:\TQ\Env_dx9\license.dll
[MODULE]  22  base=0x5e730000  end=0x5e92f000  size=0x001ff000  name=d3dx9_43.dll  path=F:\TQ\Env_dx9\d3dx9_43.dll
